navodila,,vrsta,proizvajalec,ime,širina,dolžina,višina,leto,serijska številka,popisovalec,stanje,zgodovina,polica
,,,,,,,,,,,,,
vrste eksponatov:,,Vnosna naprava,Atari,Atari 5200 Trak-Ball Controller,27,23,10,,079617 EP044,marko,črne barve z rumeno kroglo,zootfly,D1
Igralna konzola,,Vnosna naprava,Atari,Atari 5200 Trak-Ball Controller,27,23,10,,079275 EP044,marko,črne barve z rumeno kroglo,zootfly,D1
Mrežna oprema,,Vnosna naprava,Sony,PlayStation Controller SCPH-1080,14,8,5,,,marko,sive barve,zootfly,D1
Radio / Televizija,,Vnosna naprava,Sony,PlayStation Controller SCPH-1080,14,8,5,,,marko,sive barve,zootfly,D1
Dlančnik/Kalkulator,,Vnosna naprava,Sony,PlayStation Controller SCPH-1200,15,10,6,,,marko,sive barve z analognima gobicama,zootfly,D1
Ostalo,,Vnosna naprava,Sony,PlayStation Controller SCPH-1200,15,10,6,,,marko,sive barve z analognima gobicama,zootfly,D1
Podatkovni pogon,,Vnosna naprava,Coleco,Coleco Vision Expansion Module #2,27,18,14,,AT0069642,marko,črne barve z volanom,zootfly,D1
Tiskalnik,,Vnosna naprava,Nintendo,NES Advantage,20,16,10,1987,USA1119998,marko,sive barve z rdečima gumboma,zootfly,D1
Komponenta,,Vnosna naprava,Asciiware,Super Advantage,23,20,9,,,marko,sive barve z velikimi barvastimi gumbi,zootfly,D1
Terminal,,Vnosna naprava,NEC,TurboGrafx 16 TurboStick,20,16,9,,,marko,črne barve z oranžno ročko,zootfly,D1
Nosilec podatkov,,Vnosna naprava,Sega,Sports Pad,20,12,6,,C8025817,marko,črne barve z rumeno kroglo,zootfly,D1
Vnosna naprava,,Vnosna naprava,Sega,Sega Genesis Arcade Power Stick,28,15,10,,010040478,marko,črne barve,zootfly,D1
Monitor,,Vnosna naprava,Atari,Trak-ball,24,15,6,,114654 EP014,marko,temno rjave barve z rumeno kroglo,zootfly,D1
Računalnik,,Vnosna naprava,Sony,PS one Analog Controller,16,10,6,,,marko,svetlo sive barve,zootfly,D1
,,Vnosna naprava,Sony,PS one Analog Controller,16,10,6,,,marko,svetlo sive barve,zootfly,D1
"miši, joysticki, napajalniki ipd., se vpisejo posebej, ne kot del računalnika / konzole",,Vnosna naprava,Nintendo,Power Pad,90,100,3,,,marko,siv dance mat z modrimi in rdečimi krogi,zootfly,D1
,,Vnosna naprava,Atari,Gamepad,16,13,4,,B43C0072447,marko,temno sive barve z rdečimi gumbi,zootfly,D1
"če za kak primerek nisi prepričan/a, kaj narest, ga raje pusti za kasneje",,Vnosna naprava,Atari,Gamepad,16,13,4,,G14B0110748,marko,temno sive barve z rdečimi gumbi,zootfly,D1
,,Vnosna naprava,Nintendo,Nintendo 64 Controller,16,15,6,,,marko,svetlo sive barve,zootfly,D1
"ja, dejansko rabiš meter, da zmeriš velikost",,Vnosna naprava,Nintendo,Nintendo 64 Controller,16,15,6,,,marko,svetlo sive barve,zootfly,D1
,,Vnosna naprava,Nintendo,Virtual Boy Controller,15,13,5,,,marko,črne barve,zootfly,D1
"pod stanje vnesi vizualno prepoznavne znake - barve, oblike, nalepke, praske, poškodbe",,Vnosna naprava,Panasonic,3DO Controller,17,7,3,,,marko,črne barve s sivimi gumbi,zootfly,D1
,,Vnosna naprava,Panasonic,3DO Controller,17,7,3,,,marko,črne barve s sivimi gumbi,zootfly,D1
,,Vnosna naprava,Sega,Control Stick,15,10,10,,C8948823,marko,črne barve,zootfly,D1
,,Vnosna naprava,Sega,Dreamcast Controller,14,15,7,,,marko,svetlo sive barve,zootfly,D1
,,Vnosna naprava,Sega,Dreamcast Controller,14,15,7,,,marko,svetlo sive barve,zootfly,D1
,,Komponenta,Mad Catz,Dreamcast Memory Unit,5,8,2,1999,1300CPA,marko,svetlo sive barve,zootfly,D1
,,Vnosna naprava,Sony,PlayStation 2 Analog Controller,16,10,6,,,marko,črne barve,zootfly,D1
,,Vnosna naprava,Nintendo,GameCube Controller,14,11,7,,,marko,črne barve,zootfly,D1
,,Vnosna naprava,Nintendo,GameCube Controller,14,11,7,,,marko,črne barve,zootfly,D1
,,Vnosna naprava,SVI,QuickShot II plus,14,10,17,,,marko,črne barve z rdečim gumbom na ročki,zootfly,D1
,,Vnosna naprava,SVI,QuickShot II plus,14,10,17,,,marko,črne barve z rdečim gumbom na ročki,zootfly,D1
,,Vnosna naprava,Competition-Pro,Joystick,9,12,13,,,marko,črne barve z rdečima gumboma in rdečo ročko,zootfly,D1
,,Vnosna naprava,SVI,QuickShot II Turbo,11,12,18,,,marko,rdeče barve s črno ročko,zootfly,D1
,,Vnosna naprava,,Pištola za PlayStation,24,16,4,,,marko,vijolične barve,zootfly,D1
,,Vnosna naprava,Namco,Pištola za PlayStation,24,17,4,1996,,marko,sive barve,zootfly,D1
,,Vnosna naprava,Konami,Pištola za PlayStation,25,17,4,1995,,marko,strupeno zelene barve,zootfly,D1
,,Vnosna naprava,Nintendo,Zapper,29,15,4,1985,,marko,sive barve,zootfly,D1
,,Vnosna naprava,Nintendo,Zapper,29,15,4,1985,,marko,oranžno-sive barve,zootfly,D1
,,Vnosna naprava,Namco,Pištola,22,16,4,2000,,marko,oranžne barve,zootfly,D1
,,Komponenta,Nintendo,Stojalo za Virtual Boy,22,29,6,,,marko,črne barve,zootfly,D1
,,Vnosna naprava,Nintendo,Super NES Controller ,14,6,2,1991,,marko,sive barve z vijoličnimi gumbi,zootfly,D1
,,Vnosna naprava,Nintendo,Super NES Controller ,14,6,2,1991,,marko,sive barve z vijoličnimi gumbi,zootfly,D1
,,Vnosna naprava,Nintendo,Super Famicom Controller ,14,6,2,,,marko,sive barve z vijoličnimi gumbi,zootfly,D1
,,Vnosna naprava,Microsoft,Xbox Controller S,16,11,7,,768366661A,marko,črne barve,zootfly,D1
,,Vnosna naprava,Sega,Light Phaser,30,14,5,,,marko,črne barve,zootfly,D1
,,Vnosna naprava,Atari,Atari 2600 Joystick,9,10,11,,,marko,črne barve z oranžnim gumbom,zootfly,D1
,,Vnosna naprava,Atari,Atari 2600 Joystick,9,10,11,,,marko,črne barve z oranžnim gumbom,zootfly,D1
,,Vnosna naprava,Nintendo,NES Controller,13,6,2,1993,,marko,sive barve z rdečima gumboma,zootfly,D1
,,Vnosna naprava,Nintendo,NES Controller,13,6,2,1993,,marko,sive barve z rdečima gumboma,zootfly,D1
,,Vnosna naprava,Nintendo,Mouse,6,9,3,1992,,marko,sive barve z vijoličnima gumboma,zootfly,D1
,,Vnosna naprava,Atari,Atari 5200 Controller,7,17,9,,,marko,črne barve,zootfly,D1
,,Vnosna naprava,Atari,Atari 5200 Controller,7,17,9,,,marko,črne barve,zootfly,D1
,,Vnosna naprava,Atari,Atari Joystick,6,15,9,,,marko,črne barve s srebrno letvico,zootfly,D1
,,Vnosna naprava,Atari,Atari Joystick,6,15,9,,,marko,črne barve s srebrno letvico,zootfly,D1
,,Vnosna naprava,Atari,2x Tennis Controller,6,10,6,,,marko,zvezana sta skupaj; črne barve z rdečim gumbom ob strani,zootfly,D1
,,Vnosna naprava,Atari,Race Controller,6,10,6,,,marko,črne barve z rdečim gumbom ob strani,zootfly,D1
,,Vnosna naprava,Fairchild,Channel F Controller,5,16,5,,,marko,črne barve,zootfly,D1
,,Vnosna naprava,Fairchild,Channel F Controller,5,16,5,,,marko,črne barve,zootfly,D1
,,Vnosna naprava,Nintendo,NES MAX,13,7,2,1988,,marko,sive barve,zootfly,D1
,,Vnosna naprava,Nintendo,NES Four Score,15,8,4,1990,,marko,sive barve,zootfly,D1
,,Vnosna naprava,Sega,Control Pad,12,5,2,,,marko,črne barve,zootfly,D1
,,Vnosna naprava,Sega,Control Pad,12,5,2,,,marko,črne barve,zootfly,D1
,,Vnosna naprava,Sony,Multitap,16,16,4,,,marko,sive barve,zootfly,D1
,,Vnosna naprava,Sega,Dreamcast fishing controller,11,26,7,2000,,marko,sive barve v originalni škatli črne barve,zootfly,D1
,,Vnosna naprava,Sega,Sega Genesis Controller,16,11,3,,,marko,črne barve,zootfly,D1
,,Vnosna naprava,Sega,Controller,16,8,3,,,marko,črne barve,zootfly,D1
,,Vnosna naprava,NEC,TurboGrafx 16 TurboPad,14,6,2,,,marko,črne barve,zootfly,D1
,,Vnosna naprava,Atari,Video Touch Pad,8,16,4,,,marko,črne barve,zootfly,D1
,,Vnosna naprava,Nintendo,Super NES Super Scope 6,58,18,8,1992,,marko,sive barve v originalni škatli črne barve,zootfly,D1
,,Igralna konzola,Microsoft,Xbox,32,26,9,2002,5127175 23602,marko,črne barve v originalni škatli črne barve,zootfly,D1
,,Vnosna naprava,Microsoft,Xbox Game Controller,17,14,6,,061325362,marko,črne barve v originalni škatli črne barve,zootfly,D1
,,Igralna konzola,Atari,Atari XE System,33,20,5,,A1 7A1039125,marko,sive barve v originalni škatli temno modre barve,zootfly,D1
,,Vnosna naprava,Atari,Atari XE System pištola,32,15,5,,,marko,sive barve v originalni škatli temno modre barve,zootfly,D1
,,Vnosna naprava,Atari,Atari XE Joystick,9,10,11,,,marko,sive barve v originalni škatli temno modre barve,zootfly,D1
,,Vnosna naprava,Atari,Atari XE Keyboard,35,16,5,,A1 7B1017244,marko,sive barve v originalni škatli temno modre barve,zootfly,D1
,,Vnosna naprava,Sega,Sega Genesis Activator,,,,1993,,marko,črne barve v originalni škatli rdeče barve,zootfly,D1
,,Igralna konzola,Sourcing International Limited,Action Max Game System,31,18,5,1987,WE23970,marko,sive barve s svetlo sivo letvico v original škatli črne barve,zootfly,D1
,,Vnosna naprava,Sourcing International Limited,Action Max pištola,26,13,3,,,marko,sive barve v original škatli črne barve,zootfly,D1
,,Igralna konzola,Amstrad,ZX Spectrum +2 Action Pack,,,,,,marko,"v originalno zapakirani škatli, nisem odpiral",zootfly,D1