revija,stevilka,leto,mesec,verzija,opombe
BIT,,1985,11,,
Galaksija,,1984,6,,
Joker,,2006,1,,
Joker,,2006,2,,
Joker,,2006,3,,
Joker,,2006,4,,
Joker,,2006,5,,
Joker,,2006,6,,
Joker,,2006,7,,
Joker,,2006,8,,
Joker,,2006,9,,
Joker,,2006,10,,
Joker,,2006,11,,
Joker,,2006,12,,
Joker,,2007,1,,
Joker,,2007,2,,
Joker,,2007,3,,
Joker,,2007,4,,
Joker,,2007,5,,
Joker,,2007,6,,
Joker,,2007,7,,
Joker,,2007,8,,
Joker,,2007,9,,
Joker,,2007,10,,
Joker,,2007,11,,
Joker,,2007,12,,
Joker,,2008,1,,
Joker,,2008,2,,
Joker,,2008,3,,
Joker,,2008,4,,
Joker,,2008,5,,
Joker,,2008,6,,
Joker,,2008,7,,
Joker,,2008,8,,
Joker,,2008,9,,
Joker,,2008,10,,
Joker,,2008,11,,
Joker,,2008,12,,
Joker,,2009,1,,
Joker,,2009,2,,
Joker,,2009,4,,
Joker,,2009,7,,
Joker,,2009,8,,
Joker,,2009,9,,
Joker,,2009,10,,
Joker,,2009,11,,
Joker,,2009,12,,
Joker,,2011,9,,
Joker,,2016,1,,
Joker,,2016,2,,
Joker,,2016,3,,
Joker,,2016,4,,
Joker,,2016,5,,
Joker,,2016,6,,
Joker,,2016,7,,
Joker,,2016,8,,
Joker,,2016,9,,
Joker,,2016,10,,
Joker,,2016,11,,
Joker,,2016,12,,
Joker,,2017,1,,
Joker,,2017,2,,
Joker,,2017,3,,
Joker,,2017,4,,
Joker,,2017,5,,
Joker,,2017,6,,
Joker,,2017,7,,
Joker,,2017,9,,
Joker,,2017,10,,
Moj Mikro,,1987,4,,
Moj Mikro,,1988,10,,
Moj Mikro,,1989,12,,
Moj Mikro,,1989,9,,
Moj Mikro,,1989,7,,
Moj Mikro,,1989,6,,
Moj Mikro,,1990,1,,
Moj Mikro,,1990,2,,
Moj Mikro,,1990,3,,
Moj Mikro,,1990,4,,
Moj Mikro,,1990,5,,
Moj Mikro,,1990,6,,
Moj Mikro,,1990,7,,
Moj Mikro,,1990,9,,
Moj Mikro,,1990,10,,
Moj Mikro,,1990,11,,
Moj Mikro,,1990,2,,
Moj Mikro,,1991,1,,
Moj Mikro,,1991,3,,
Moj Mikro,,1991,4,,
Moj Mikro,,1991,5,,
Moj Mikro,,1991,6,,
Moj Mikro,,1991,7,,
Moj Mikro,,1991,9,,
Moj Mikro,,1991,10,,
Moj Mikro,,1991,11,,
Moj Mikro,,1991,12,,
Moj Mikro,,1992,3,,
Moj Mikro,,1993,12,,
Moj Mikro,,1993,10,,
Moj Mikro,,2015,1,,
Moj Mikro,,2015,7,,
Monitor,,1991,10,,
Monitor,,1999,1,,
Monitor,,2005,10,,
Monitor,,2006,11,,
Monitor,,2006,3,,
Monitor,,2007,5,,
Monitor,,2008,5,,
Monitor,,2008,12,,
Monitor,,2008,9,,
Monitor,,2009,3,,
Monitor,,2009,1,,
Monitor,,2009,7,,
Monitor,,2010,7,,
Monitor,,2010,2,,
Monitor,,2011,3,,
Monitor,,2011,4,,
Monitor,,2012,2,,
Monitor,,2012,3,,
Monitor,,2012,5,,
Monitor,,2012,12,,
Monitor,,2012,11,,
Monitor,,2013,11,,
Monitor,,2013,6,,
Monitor,,2013,4,,
Monitor,,2013,5,,
Monitor,,2015,1,,
Monitor,,2015,2,,
Monitor,,2015,3,,
Monitor,,2015,4,,
Monitor,,2015,5,,
Monitor,,2015,7,,
Monitor,,2015,12,,
Monitor,,2015,9,,
Monitor,,2015,11,,
Monitor,,2017,4,,
Monitor,,2017,10,,
Monitor,,2018,2,,
Monitor,,2018,3,,
Monitor,,2018,4,,
Monitor,,2018,5,,
Monitor,,2018,6,,
Monitor,,2018,7,,
Monitor,,2018,9,,
Monitor,,2018,11,,
Monitor,,2018,12,,
Monitor,,2019,1,,
Monitor,,2019,2,,
Monitor,,2019,4,,
Monitor,,2019,5,,
Monitor,,2019,6,,
Monitor,,2019,12,,
Monitor,,2019,10,,
Monitor,,2020,1,,
Monitor,,2020,4,,
Monitor,,2020,5,,
Monitor,,2020,6,,
Monitor,,2020,7,,
Monitor,,2020,9,,
Monitor,,2020,10,,
Monitor,,2020,11,,
Monitor,,2020,12,,
PCformat,,2005,3,a,
PCformat,,2005,3,b,
PCformat,,2002,4,,
PCformat,,2002,6,,
PCformat,,2002,7,,
PCformat,,2002,11,,
PCformat,,2002,12,,
PCformat,,2003,1,,
PCformat,,2003,2,,
PCformat,,2003,3,,
PCformat,,2003,4,,
PCformat,,2003,6,,
PCformat,,2003,10,,
PCformat,,2003,12,,
PCformat,,2004,11,,
PCformat,,2004,1,,
PCformat,,2004,2,,
PCformat,,2004,3,,
PCformat,,2004,5,,
PCformat,,2004,6,,
PCformat,,2004,7,,
PCformat,,2004,10,,
PCformat,,2005,10,,
PCformat,,2005,11,,
PCformat,,2005,1,,
PCformat,,2005,4,,
PCformat,,2005,5,,
PCformat,,2005,6,,
PCformat,,2005,7,,
PCformat,,2005,8,,
PCformat,,2005,9,,
PCformat,,2006,1,,
PCformat,,2006,2,,
PCformat,,2006,3,,
PCformat,,2006,5,,
PCformat,,2006,6,,
PCformat,,2006,7,,
PCformat,,2006,8,,
PCformat,,2006,9,,
PCformat,,2006,11,,
PCformat,,2006,12,,
PCformat,,2007,1,,
PCformat,,2007,4,,
PCformat,,2007,5,,
PCformat,,2007,9,,
PCformat,,2007,10,,
PCformat,,2007,11,,
PCformat,,2007,12,,
PCformat,,2008,2,,
PCformat,,2008,7,,
pcformat-vodic,,2003,1,,
Programer,2,1992,4,,
Programer,3,1992,5,,
Programer,4,1992,6,,
Programer,5.5,1992,7,,
Računari,,1990,10,,
Računari,,1990,11,,
Spletka,,2000,11,,
Spletka,,2001,4,,
Spletka,,2001,3,,
Spletka,,2001,11,,
Spletka,,2001,1,,
Spletka,,2002,4,,
Spletka,,2002,3,,
SOFTware power,,1997,10,,
SOFTware power,,1999,12,,
SOFTware power,,1999,11,,
SOFTware power,,1999,10,,
SOFTware power,,1999,8,,
SOFTware power,,1999,7,,
SOFTware power,,1999,6,,
SOFTware power,,1999,5,,
SOFTware power,,1999,4,,
SOFTware power,,1999,3,,
SOFTware power,,2000,11,,
SOFTware power,,2000,10,,
SOFTware power,,2000,9,,
SOFTware power,,2000,7,,
SOFTware power,,2000,6,,
SOFTware power,,2000,4,,
SOFTware power,,2000,3,,
SOFTware power,,2000,2,,
SOFTware power,,2000,1,,
SOFTware power,,2001,1,,
SOFTware power,,2001,2,,
SOFTware power,,2001,3,,
SOFTware power,,2001,4,,
SOFTware power,,2001,5,,
SOFTware power,,2001,6,,
SOFTware power,,2001,7,,
SOFTware power,,2001,8,,
SOFTware power,,2001,9,,
SOFTware power,,2001,11,,
SOFTware power,,2001,12,,
SOFTware power,,2002,1,,
WIN.INI,,1995,10,,
WIN.INI,,1995,3,,
WIN.INI,,1995,4,,
WIN.INI,,1995,5,,
WIN.INI,,1995,6,,
WIN.INI,,1996,3,,
WIN.INI,,1997,1,,
WIN.INI,,1997,4,,