vrsta,proizvajalec,program,verzija,leto,stanje,OS,medij,avtor
Izobraževalni paket,brut film,maček muri šteje in računa,,,rabljeno,zx,kaseta,ljubo kostrevc
Izobraževalni paket,dzs,čudovite živalice,,1998,rabljeno,win,cd,
Izobraževalni paket,incognito software,make-a-chip,,1983,rabljeno,zx,kaseta,
Izobraževalni paket,infinite orb,multimedia encyclopedia of rock'n'roll,the 60s,1994,rabljeno,win,cd,
Izobraževalni paket,university software,statistics,,1984,rabljeno,zx,kaseta,
Izobraževalni paket,zotka,ciciban šteje,,,rabljeno,zx,kaseta,davor bonačič
Izobraževalni paket,zotks,cicibanova abeceda,,1984,rabljeno,zx,kaseta,bonačič davor
Izobraževalni paket,zotks,ciciban šteje,,1985,rabljeno,zx,kaseta,bonačič davor
Izobraževalni paket,zotks,ciciban računa,,1985,rabljeno,zx,kaseta,bonačič davor
Izobraževalni paket,zotks,snip - snovanje izobraževalnih programov,,1987,rabljeno,zx,kaseta,"dane rebolj, branko pečnik, ivan gerlič"
Izobraževalni paket,zotks,izbor osnovnošolcev,,1987,rabljeno,zx,kaseta,
Izobraževalni paket,večer,EU vodnik,,2004,,,cd,
Izobraževalni paket,revija bit,zemljepis,,1985,rabljeno,zx,kaseta,gorazd okrožnik
Izobraževalni paket,zotks,hidroenergetske osnove jugoslavije,,1985,rabljeno,zx,kaseta,"bibijana mihevc, tatjana ogrinc, sašo stikovič"
Izobraževalni paket,zotks,yahtzee mastermind,,1985,rabljeno,zx,kaseta,"mika perc, lado baumkirher"
Izobraževalni paket,zotks,mavrični diagrami,,1985,rabljeno,zx,kaseta,"jaro lajovic, milan orožen-adamič, primož jakopin"
Izobraževalni paket,DUM,fizika 1,,,neoriginal ovitek,zx,kaseta,
Izobraževalni paket,mikroračunalniški center škd,učimo kroz igru,1.010,1985,rabljeno,zx,kaseta,
Operacijski sistem,caldera,linux network desktop,,1996,rabljeno,,cd,
Operacijski sistem,IBM,os/2,2.0,1992,rabljeno,,"3"" floppy",
Operacijski sistem,IBM,dos ,3.3,1987,rabljeno,,"5"" floppy",
Operacijski sistem,IBM,os/2,version 3,1994,rabljeno,,cd,
Operacijski sistem,IBM,os2 warp server,4,1995,rabljeno,"os2, dos, windows",cd,
Operacijski sistem,microsoft,windows ,3.1,1991,dell oem original,,"3"" floppy",
Operacijski sistem,microsoft,windows ,3.1,1991,dell oem,,"3"" floppy",
Operacijski sistem,microsoft,ms-dos,6.1,1991,dell oem,,"3"" floppy",
Operacijski sistem,microsoft,windows for workgroups,3.1,1992,rabljeno,dos,"3"" floppy",
Operacijski sistem,microsoft,ms-dos,6,1993,rabljeno,,"3"" floppy",
Operacijski sistem,microsoft,everex ms-dos,5.0,1991,rabljeno,,"3"" floppy",
Operacijski sistem,microsoft,windows,3,1990,rabljeno,dos,"5"" floppy",
Operacijski sistem,microsoft,ms-dos,3.3,1987,rabljeno hyundai oem,,"5"" floppy",
Operacijski sistem,microsoft,windows nt server,3.51,1995,rabljeno,,"cd & 3"" floppy",
Operacijski sistem,microsoft,ms-dos,3.3,1987,rabljeno,,manjka,
Operacijski sistem,microsoft,windows,3.1,1992,rabljeno,dos,"manjka 3"" floppy",
Operacijski sistem,microsoft,windows nt server,3.5,1994,rabljeno,,,
Operacijski sistem,silicon graphics,irix,5.3,1994,rabljeno,sgi,cd,
Operacijski sistem,Sun,Solaris,9,2002,rabljeno,,dvd,
Operacijski sistem,sunsoft,solaris,2.5.1,1996,rabljeno,sparc,,
Operacijski sistem,apple,MacOS Anthology,5-7,1999,rabljeno,mac,dvd,
Operacijski sistem,microsoft,windows for workgroups,oem,,original,,"3"" floppy",
Operacijski sistem,hewlett packard,hp-ux install disc,s700,1991,rabljeno,hp ux,cd,
Operacijski sistem,hewlett packard,hp-ux core os,s700,1991,rabljeno,hp ux,cd,
Operacijski sistem,hewlett packard,support,10.00,1995,rabljeno,hp ux,cd,
Operacijski sistem,hewlett packard,applications / patches,10.20,1997,rabljeno,hp ux,cd,
Operacijski sistem,hewlett packard,install core OS,10.0,1995,rabljeno,hp ux,cd,
Operacijski sistem,hewlett packard,applications,10.0,1995,rabljeno,hp ux,cd,
Operacijski sistem,hewlett packard,upgrade tools,10.0,1995,rabljeno,hp ux,cd,
Operacijski sistem,hewlett packard,transition toolkit,10.20,1997,rabljeno,hp ux,cd,
Operacijski sistem,microsoft,windows 98 starts here,oem,1998,rabljeno,win 98,cd,
Operacijski sistem,ibm,os/2 warp,3,1994,rabljeno,,cd,
Programska oprema,adobe,creative suite,"3, prodruction premium",2007,rabljeno,,dvd,
Programska oprema,aldus,pagemaker,5.0,1992,rabljeno,mac,"3"" floppy",
Programska oprema,aol,hi world!,,,rabljeno,windows,cd,
Programska oprema,Apple,macintosh stylewriter II,,,rabljeno,mac,"3"" floppy",
Programska oprema,Apple,macintosh utilities,,1991,rabljeno,mac,"3"" floppy",
Programska oprema,ashby,pssst,,1982,rabljeno,zx,kaseta,
Programska oprema,audio light,koala painter,,1983,original,commodore 64,"5"" floppy",
Programska oprema,autodesk,3d studio,2.01,,rabljeno,,"cd & 3"" floppy",
Programska oprema,borland,sidekick,2.0,1991,rabljeno,dos,"3"" & 5"" floppy",
Programska oprema,borland,quattro pro,5.0 workgroup edition,1993,rabljeno,windows 3.0,"3"" floppy",
Programska oprema,borland,quattro pro,4.0,1992,rabljeno,dos,"3"" floppy",
Programska oprema,borland,paradox,4.5,1993,rabljeno,win,"3"" floppy",
Programska oprema,borland,paradox,for windows,1992,rabljeno,win 3.1,"3"" floppy",
Programska oprema,borland,paradox,,1992,rabljeno,windows,"3"" floppy",
Programska oprema,borland,quattro pro,1.0,1993,rabljeno,win,"5"" floppy",
Programska oprema,borland,paradox,3.0,1992,rabljeno,"win, dos","5"" floppy",
Programska oprema,borland,quattro pro,,1992,rabljeno,,"5"" floppy",
Programska oprema,cbs,jumpman,,1983,rabljeno,commodore 64,kaseta,
Programska oprema,citrix,metaframe,,1999,rabljeno,,cd,
Programska oprema,citrix,winframe,1.8,1999,original demonstrational copy,,,
Programska oprema,clark development,pcboard,14.5a,1992,rabljeno,,,
Programska oprema,commodore,icicle works,,,rabljeno,commodore 64,kaseta,
Programska oprema,computer associates,superproject,3.0,1992,rabljeno,win,"3"" floppy",
Programska oprema,computer associates,ca-superproject,,1991,rabljeno,dos,,
Programska oprema,corel,ventura,5,,rabljeno,win,"3"" floppy",
Programska oprema,corel,wordperfect suite,,1996,rabljeno,win,cd,
Programska oprema,corel,ventura,,,rabljeno,,cd,
Programska oprema,corel,office professional,,1996,rabljeno,win,,
Programska oprema,danware,netop,v6,,rabljeno,"win 98, NT",,
Programska oprema,data fellows,f-secure,,1996,rabljeno,"win, unix","3"" floppy",
Programska oprema,data fellows,f-prot professional,,1995,rabljeno,"win, unix","3"" floppy",
Programska oprema,database software,mini office,,1984,rabljeno,zx,kaseta,
Programska oprema,delrina,winfax pro,7.0,1995,rabljeno,win 95,"3"" floppy",
Programska oprema,fox software,foxbase Mac,2.01,,rabljeno,Macintosh II SE or Plus,800k floppy,
Programska oprema,IBM,pc jr sampler,,1983,original,pc jr,"5"" floppy",
Programska oprema,IBM,via voice 98,executive,,rabljeno,win,cd,
Programska oprema,Kinetix,3D Studio MAX ,R2,1997,rabljeno,,cd,
Programska oprema,lotus,domino,4.6,1997,rabljeno,multi,,
Programska oprema,medinet,amis komplet 4,,2000,rabljeno,win,cd,
Programska oprema,micrografx,abc graphics suite,,1995,rabljeno,win 95,cd,
Programska oprema,microsoft,plus!,,1995,rabljeno,win,"3"" floppy",
Programska oprema,microsoft,works,upgrade,1994,rabljeno,,"3"" floppy",
Programska oprema,microsoft,visual basic,2.0,1992,rabljeno,win,"3"" floppy",
Programska oprema,microsoft,excel,4.0,1992,rabljeno,win,"3"" floppy",
Programska oprema,microsoft,office,slovenski 7.0 standard,1995,rabljeno,win 95,"3"" floppy",
Programska oprema,microsoft,word for windows,2,1990,brey ovitka,windows,"3"" floppy",
Programska oprema,microsoft,word,5.5,1990,rabljeno,dos,"5"" floppy",
Programska oprema,microsoft,ibm basic,1,1983,original,pc jr,cartridge,
Programska oprema,microsoft,money 99,trial,,rabljeno,win,cd,
Programska oprema,microsoft,outlook 98,,,rabljeno,win,cd,
Programska oprema,microsoft,life style,,1998,rabljeno,win,cd,
Programska oprema,microsoft,J++,1.0,1996,rabljeno,win,cd,
Programska oprema,microsoft,office 97,standard edition,1996,rabljeno,win 95,cd,
Programska oprema,microsoft,internet explorer,3,1996,original promotional cd,windows,cd,
Programska oprema,microsoft,fox pro,2.6,1994,rabljeno,,,
Programska oprema,mindscape,the animals!,2,1994,rabljeno,mac,cd,
Programska oprema,netobjects,fusion,2,1997,rabljeno,win 95 nt,,
Programska oprema,netscape,navigator,1.2,,original,windows,cd,
Programska oprema,norton,utilities,3,1997,rabljeno,win,cd,
Programska oprema,norton,anti virus,5,1998,rabljeno,,cd,
Programska oprema,novell,quattro pro,6.0,1994,rabljeno,win,"3"" floppy",
Programska oprema,novell,groupwise,5,,poškodovano,,cd,
Programska oprema,novell,netware,5,1998,rabljeno,,cd,
Programska oprema,novell,intranetware for small business,,,poškodovano,,,
Programska oprema,novell,netware,3.12,1994,rabljeno,,,
Programska oprema,powersoft,watcom c/c++,10.6,1995,rabljeno,win 95,,
Programska oprema,psion,horizons - starter pack,,1982,rabljeno,zx,kaseta,
Programska oprema,quarterdeck,cleansweep 95,,1995,rabljeno,win,"3"" floppy",
Programska oprema,quarterdeck,expanded memory mamager,v7,1993,rabljeno,dos win,manjka,
Programska oprema,radio shack,trs-80 learning lab,,1983,rabljeno,trs-80,8 kaset,
Programska oprema,sco,unixware,7,1998,rabljeno,,cd,
Programska oprema,sophos,anti virus,,1999,rabljeno,all,cd,
Programska oprema,starfish software,dashboard 95,2,1995,rabljeno,win 95,"3"" floppy",
Programska oprema,symantec,norton utilities,,1995,rabljeno,,"3"" floppy",
Programska oprema,symantec,norton commander,,1996,rabljeno,win 95,"3"" floppy",
Programska oprema,symantec,norton uninstall deluxe,1,1997,rabljeno,win 95,"3"" floppy",
Programska oprema,symantec,visualcafe,version 3,1998,rabljeno,win 95,cd,
Programska oprema,symantec,norton nt tools,,1996,rabljeno,windows nt,cd,
Programska oprema,traveling software,laplink for windows 95,7,1996,rabljeno,win 95,,
Programska oprema,tzs,prvi in drugi korak commodore c=64,,,rabljeno,commodore 64,kaseta,hinko muren
Programska oprema,white pine,CU-seeMee,2.0,1996,rabljeno,"win, mac",,
Programska oprema,wordperfect,wordperfect for windows,5.2,1992,rabljeno,win 3,"3"" floppy",
Programska oprema,wordperfect,office for pc lans,,,original demonstrational copy,win 3,"3"" floppy",
Programska oprema,wordperfect,drawperfect,,1990,original demonstrational copy,dos,"5"" floppy",
Programska oprema,wordperfect,works for dos,,1992,rabljeno,dos,"5"" floppy",
Programska oprema,wordstar,wordstar,6,1990,brez ovitka,dos,manjka,
Programska oprema,smithmicro software,quicklinkII fax,,,original,win,cd,
Programska oprema,research soft,ProCite,5,1999,rabljeno,win 95,cd,
Programska oprema,spry,mosaic direct,,,original,win,"3"" floppy",
Programska oprema,prentice hall,test manager,,1991,rabljeno,dos,"3"" floppy",
Programska oprema,pošta slovenije,moja.posta.si,,,,win,cd,
Programska oprema,Netscape,Navigator,3.0,,original,win 95,"3"" floppy",
Programska oprema,yourdon,analyst toolkit,demo,,rabljeno,dos,"5"" floppy",
Programska oprema,interworks,contributed software library,05/95,1995,rabljeno,hp ux,cd,
Programska oprema,microsoft,home essentials 98,,1997,rabljeno,win 95,cd,
Programska oprema,microsoft,office 97,"standard, slo",1997,rabljeno,win 95,cd,
Programska oprema,psion,horizons - starter pack,,1982,rabljeno,zx,kaseta,
Računalniška igra,ashby,lunar jetman,,1983,rabljeno,zx,kaseta,
Računalniška igra,asp software,the fall of rome,,1984,rabljeno,zx,kaseta,
Računalniška igra,beck software im dtv,neusten windows spiele,,1993,rabljeno,win,"3"" floppy",
Računalniška igra,bullfrog,dungeon keeper,the deeper dungeons,1997,rabljeno,win 95,cd,
Računalniška igra,cheetahsoft,conquest,,1984,rabljeno,zx,kaseta,
Računalniška igra,datamedia gmbh,skat,,1984,rabljeno,commodore 64,kaseta,
Računalniška igra,digital integration,tornado,2,1994,rabljeno,dos,cd,
Računalniška igra,dktronics,dictator,,1982,rabljeno,zx,kaseta,
Računalniška igra,dktronics,jumbly,,1983,rabljeno,zx,kaseta,
Računalniška igra,empire,war in the gulf,,1993,rabljeno,amiga,"3"" floppy",
Računalniška igra,infocom,return to zork,,,rabljeno,dos,cd,
Računalniška igra,lothlorien,johnny reb,warmaster,1983,rabljeno,zx,kaseta,
Računalniška igra,lothlorien,special operations,adventuremaster,1983,rabljeno,zx,kaseta,
Računalniška igra,micro prose,civilization II,scenarios,1996,rabljeno,win,cd,
Računalniška igra,moi software,reversi,,1982,rabljeno,zx,kaseta,
Računalniška igra,new generation software,jonah barrington's squash,,1985,rabljeno,zx,kaseta,
Računalniška igra,Ocean,Jurassic Park,,1992,rabljeno,amiga,"3"" floppy",
Računalniška igra,origin systems,wing commander,,1990,rabljeno,amiga,"3"" floppy",
Računalniška igra,psion,flight simulation,,1982,rabljeno,zx,kaseta,
Računalniška igra,radio študent,kontrabant 2,,1985,rabljeno,zx,kaseta,žiga turk
Računalniška igra,softprice,terminator 2 judgment day,,1991,rabljeno,amiga,"3"" floppy",
Računalniška igra,sunflowers,aufschwung ost,,1993,rabljeno,amiga,"3"" floppy",
Računalniška igra,supersoft,hall of death,,1983,rabljeno,commodore 64,kaseta,
Računalniška igra,terminal reality,fly!2k,,2000,rabljeno,mac,cd,
Računalniška igra,zotks,sestavljanka,,1987,rabljeno,zx,kaseta,
Računalniška igra,virgin melbourne house,rick davis's world trophy soccer,,1989,rabljeno,dos,"5"" floppy manjka",
Računalniška igra,bit star,warlock's quest,,,rabljeno,amiga,"3"" floppy",
Računalniška igra,publiflash,giochi d' inverno,,,rabljeno,c64,kaseta,
Računalniška igra,mastertronic,squirm,,,rabljeno,c64,kaseta,
Računalniška igra,anirog,battle through time,,1984,rabljeno,c64,kaseta,
Računalniška igra,anirog,house of usher,,1984,rabljeno,c64,kaseta,
Računalniška igra,firebird,the happiest days of your life,,,rabljeno,c64,kaseta,
Računalniška igra,firebird,thrust,,,rabljeno,c64,kaseta,
Računalniška igra,psion,flight simulation,,1982,rabljeno,zx,kaseta,
Računalniška igra,ultimate,cookie,,1982,rabljeno,zx,kaseta,
Računalniška igra,xenon,smrkci,,1985,neoriginal ovitek,zx,kaseta,
Računalniška igra,domark,eureka!,,,manjka ovitek,c64,kaseta,
Računalniška igra,ocean,daley thompson's super-test,,1985,rabljeno,zx,kaseta,
Računalniška igra,psion,horace goes skiing,,1982,rabljeno,zx,kaseta,
Računalniška igra,ultimate,jet pac,,1982,rabljeno,zx,kaseta,
Računalniška igra,filmoteka 16 zagreb,edukativne igre,,,rabljeno,zx,kaseta,
Računalniška igra,infogrames,der fall syndey,,,manjka skatla,c64,kaseta,
Računalniška igra,virgin melbourne house,hampstead,,1984,manjka skatla,c64,kaseta,
Računalniška igra,sega,the official frogger,,1981,manjka skatla,c64,kaseta,
Računalniška igra,code masters,bmx simulator,,1986,rabljeno,c64,kaseta,
Računalniška igra,ea sports,fifa 11,,2010,brez skatle,win,dvd,
Računalniška igra,turbo games,pitstop II,,,rabljeno,c64,kaseta,
Računalniška igra,activision,x-15,alpha mission,1987,rabljeno,c64,kaseta,
Računalniška igra,silvertime,die legende der amazonen,,1986,rabljeno,c64,kaseta,
Računalniška igra,electric dreams,aliens,,1986,rabljeno,c64,kaseta,
Računalniška igra,ocean,V,,1984,rabljeno,c64,kaseta,
Računalniška igra,epyx,the movie monster,,1986,rabljeno,c64,kaseta,
Računalniška igra,activision,mindshadow,,1984,rabljeno,c64,kaseta,
Računalniška igra,electronic arts,pagan ultima VIII,classics,,rabljeno,,cd,
Računalniška igra,empire arcade,volfie V,,1991,rabljeno,amiga,"3"" floppy",
Računalniška igra,firebird,spiky harold,,,rabljeno,atari,kaseta,
Računalniška igra,prism leisure corp,G.F.L Championship Golf,,1990,rabljeno,amiga,"3"" floppy",